video,completion_frame,time,status,prob,peak_flow,baseline_flow,motion_ratio
3-10 luna ghost dash.mkv,246,0:04:100,HIT,0.956,253.1443,175.5078,1.442
3-10 luna ghost dash.mkv,869,0:14:483,HIT,0.878,623.0924,175.5078,3.55
3-10 luna ghost dash.mkv,926,0:15:433,HIT,0.913,607.8247,175.5078,3.463
3-10 luna ghost dash.mkv,948,0:15:800,MISS,0.684,607.8247,175.5078,3.463
5-10 candd1 shot.mkv,78,0:01:300,HIT,0.814,141.4529,79.9054,1.77
5-10 candd1 shot.mkv,1023,0:17:050,HIT,0.913,316.8018,79.9054,3.965
5-10 candd1 shot.mkv,1043,0:17:383,HIT,0.764,316.8018,79.9054,3.965
5-10 panther cap teamup kill.mkv,1008,0:16:800,HIT,0.855,494.9502,84.7724,5.839
5-10 triple ghost dash no kill.mkv,224,0:03:733,HIT,0.902,537.3914,120.6496,4.454
5-10 triple ghost dash no kill.mkv,251,0:04:183,HIT,0.194,394.4078,120.6496,3.269
5-10 triple ghost dash no kill.mkv,809,0:13:483,HIT,0.919,365.1971,120.6496,3.027
5-10 triple ghost dash no kill.mkv,834,0:13:900,HIT,0.209,351.5293,120.6496,2.914
5-10 triple ghost dash no kill.mkv,852,0:14:200,HIT,0.742,363.7361,120.6496,3.015
7-10 triple ghost dash.mkv,301,0:05:017,HIT,0.921,495.7057,164.9933,3.004
7-10 triple ghost dash.mkv,919,0:15:317,HIT,0.841,372.4667,164.9933,2.257
7-10 triple ghost dash.mkv,941,0:15:683,HIT,0.787,285.4165,164.9933,1.73
7-10 triple ghost dash.mkv,966,0:16:100,HIT,0.918,343.3928,164.9933,2.081
8-10 panther ult 4k.mkv,500,0:08:333,HIT,0.749,523.7191,165.1931,3.17
8-10 panther ult 4k.mkv,627,0:10:450,HIT,0.801,355.6191,165.1931,2.153
8-10 panther ult 4k.mkv,660,0:11:000,HIT,0.937,373.0801,165.1931,2.258
8-10 panther ult 4k.mkv,733,0:12:217,HIT,0.888,399.3856,165.1931,2.418
8-10 panther ult 4k.mkv,754,0:12:567,HIT,0.743,345.7014,165.1931,2.093
8-10 panther ult 4k.mkv,871,0:14:517,HIT,0.914,346.6932,165.1931,2.099
8-10 panther ult 4k.mkv,892,0:14:867,HIT,0.708,346.6907,165.1931,2.099
actirple.mp4,105,0:01:750,HIT,0.89,295.9272,108.7264,2.722
actirple.mp4,824,0:13:733,HIT,0.918,411.6928,108.7264,3.787
actirple.mp4,865,0:14:417,HIT,0.816,307.5487,108.7264,2.829
actirple.mp4,958,0:15:967,HIT,0.906,357.4304,108.7264,3.287
birnin tchalla almost penta.mp4,199,0:03:317,HIT,0.748,426.3098,190.7397,2.235
birnin tchalla almost penta.mp4,228,0:03:800,HIT,0.17,428.065,190.7397,2.244
birnin tchalla almost penta.mp4,246,0:04:100,HIT,0.401,459.7924,190.7397,2.411
birnin tchalla almost penta.mp4,879,0:14:650,HIT,0.897,391.7067,190.7397,2.054
birnin tchalla almost penta.mp4,920,0:15:333,MISS,0.454,398.2076,190.7397,2.088
birnin tchalla almost penta.mp4,947,0:15:783,HIT,0.899,410.8012,190.7397,2.154
birnin tchalla almost penta.mp4,1061,0:17:683,HIT,0.916,365.2284,190.7397,1.915
clean husk 5k.mp4,388,0:06:467,HIT,0.961,387.1962,61.3476,6.312
clean husk 5k.mp4,435,0:07:250,HIT,0.9,246.9757,61.3476,4.026
clean husk 5k.mp4,494,0:08:233,HIT,0.916,322.6898,61.3476,5.26
clean husk 5k.mp4,520,0:08:667,HIT,0.369,333.4012,61.3476,5.435
clean husk 5k.mp4,603,0:10:050,HIT,0.836,316.6016,61.3476,5.161
clean husk 5k.mp4,648,0:10:800,HIT,0.937,333.3351,61.3476,5.434
clean husk 5k.mp4,701,0:11:683,HIT,0.918,302.3655,61.3476,4.929
clean husk 5k.mp4,796,0:13:267,HIT,0.962,292.6766,61.3476,4.771
clean husk 5k.mp4,947,0:15:783,HIT,0.955,265.7197,61.3476,4.331
clean kunlun mk kill.mp4,770,0:12:833,HIT,0.968,159.2433,95.3208,1.671
clean kunlun mk kill.mp4,875,0:14:583,HIT,0.966,285.1543,95.3208,2.992
clean kunlun mk kill.mp4,913,0:15:217,HIT,0.858,286.8381,95.3208,3.009
midtown.mp4,622,0:10:367,HIT,0.841,379.5572,170.1198,2.231
midtown.mp4,747,0:12:450,HIT,0.966,344.678,170.1198,2.026
midtown.mp4,888,0:14:800,HIT,0.847,440.9263,170.1198,2.592
midtown.mp4,909,0:15:150,HIT,0.882,440.9319,170.1198,2.592
midtown.mp4,930,0:15:500,HIT,0.876,345.8859,170.1198,2.033
midtown.mp4,1023,0:17:050,HIT,0.909,347.3907,170.1198,2.042
purple panther spider islands 4k.mp4,779,0:12:983,HIT,0.968,277.4645,107.0608,2.592
purple panther spider islands 4k.mp4,831,0:13:850,HIT,0.957,336.2003,107.0608,3.14
purple panther spider islands 4k.mp4,851,0:14:183,MISS,0.602,336.2003,107.0608,3.14
purple panther spider islands 4k.mp4,967,0:16:117,HIT,0.98,266.2131,107.0608,2.487
purple panther spider islands 4k.mp4,1094,0:18:233,HIT,0.958,287.0111,107.0608,2.681
quick invis.mp4,913,0:15:217,HIT,0.93,402.7169,101.8167,3.955
quick invis.mp4,978,0:16:300,HIT,0.893,305.6641,101.8167,3.002
quick invis.mp4,1128,0:18:800,HIT,0.956,270.9607,101.8167,2.661
spider islands cable combo.mp4,877,0:14:617,HIT,0.706,381.012,190.7154,1.998
spider islands cable combo.mp4,898,0:14:967,HIT,0.446,328.0938,190.7154,1.72
spider islands cable combo.mp4,916,0:15:267,HIT,0.873,303.2204,190.7154,1.59
training video 70 11-18.mp4,276,0:04:600,HIT,0.835,377.4834,163.6251,2.307
