video,dash_start_ms,dash_start_ts,interval_start_ms,interval_start_ts,interval_end_ms,interval_end_ts,start_frame,end_frame,completion_frame,completion_ms,completion_ts
training video 01 00-29.mkv,183.3,0:00:183,133.3,0:00:133,616.7,0:00:617,8,37,38,633.3,0:00:633
training video 01 00-29.mkv,7783.3,0:07:783,7733.3,0:07:733,8216.7,0:08:217,464,493,494,8233.3,0:08:233
training video 01 00-29.mkv,9050.0,0:09:050,9000.0,0:09:000,9483.3,0:09:483,540,569,570,9500.0,0:09:500
training video 01 00-29.mkv,24300.0,0:24:300,24250.0,0:24:250,24733.3,0:24:733,1455,1484,1485,24750.0,0:24:750
training video 01 00-29.mkv,24800.0,0:24:800,24750.0,0:24:750,25233.3,0:25:233,1485,1514,1515,25250.0,0:25:250
training video 01 00-29.mkv,26783.3,0:26:783,26733.3,0:26:733,27216.7,0:27:217,1604,1633,1634,27233.3,0:27:233
training video 02 00-30.mkv,18233.3,0:18:233,18183.3,0:18:183,18666.7,0:18:667,1091,1120,1121,18683.3,0:18:683
training video 02 00-30.mkv,19150.0,0:19:150,19100.0,0:19:100,19583.3,0:19:583,1146,1175,1176,19600.0,0:19:600
training video 02 00-30.mkv,19616.7,0:19:617,19566.7,0:19:567,20050.0,0:20:050,1174,1203,1204,20066.7,0:20:067
training video 03 00-18.mkv,13866.7,0:13:867,13816.7,0:13:817,14300.0,0:14:300,829,858,859,14316.7,0:14:317
training video 03 00-18.mkv,14200.0,0:14:200,14150.0,0:14:150,14633.3,0:14:633,849,878,879,14650.0,0:14:650
training video 03 00-18.mkv,14650.0,0:14:650,14600.0,0:14:600,15083.3,0:15:083,876,905,906,15100.0,0:15:100
training video 04 00-19.mkv,12033.3,0:12:033,11983.3,0:11:983,12466.7,0:12:467,719,748,749,12483.3,0:12:483
training video 04 00-19.mkv,12400.0,0:12:400,12350.0,0:12:350,12833.3,0:12:833,741,770,771,12850.0,0:12:850
training video 04 00-19.mkv,13900.0,0:13:900,13850.0,0:13:850,14333.3,0:14:333,831,860,861,14350.0,0:14:350
training video 04 00-19.mkv,14333.3,0:14:333,14283.3,0:14:283,14766.7,0:14:767,857,886,887,14783.3,0:14:783
training video 05 00-20.mkv,13450.0,0:13:450,13400.0,0:13:400,13883.3,0:13:883,804,833,834,13900.0,0:13:900
training video 05 00-20.mkv,14533.3,0:14:533,14483.3,0:14:483,14966.7,0:14:967,869,898,899,14983.3,0:14:983
training video 05 00-20.mkv,15000.0,0:15:000,14950.0,0:14:950,15433.3,0:15:433,897,926,927,15450.0,0:15:450
training video 05 00-20.mkv,15333.3,0:15:333,15283.3,0:15:283,15766.7,0:15:767,917,946,947,15783.3,0:15:783
training video 06 00-19.mkv,13500.0,0:13:500,13450.0,0:13:450,13933.3,0:13:933,807,836,837,13950.0,0:13:950
training video 06 00-19.mkv,13933.3,0:13:933,13883.3,0:13:883,14366.7,0:14:367,833,862,863,14383.3,0:14:383
training video 07 00-18.mkv,9116.7,0:09:117,9066.7,0:09:067,9550.0,0:09:550,544,573,574,9566.7,0:09:567
training video 07 00-18.mkv,10983.3,0:10:983,10933.3,0:10:933,11416.7,0:11:417,656,685,686,11433.3,0:11:433
training video 07 00-18.mkv,11433.3,0:11:433,11383.3,0:11:383,11866.7,0:11:867,683,712,713,11883.3,0:11:883
training video 07 00-18.mkv,13750.0,0:13:750,13700.0,0:13:700,14183.3,0:14:183,822,851,852,14200.0,0:14:200
training video 07 00-18.mkv,14233.3,0:14:233,14183.3,0:14:183,14666.7,0:14:667,851,880,881,14683.3,0:14:683
training video 08 00-18.mkv,5700.0,0:05:700,5650.0,0:05:650,6133.3,0:06:133,339,368,369,6150.0,0:06:150
training video 08 00-18.mkv,6616.7,0:06:617,6566.7,0:06:567,7050.0,0:07:050,394,423,424,7066.7,0:07:067
training video 08 00-18.mkv,6966.7,0:06:967,6916.7,0:06:917,7400.0,0:07:400,415,444,445,7416.7,0:07:417
training video 08 00-18.mkv,8600.0,0:08:600,8550.0,0:08:550,9033.3,0:09:033,513,542,543,9050.0,0:09:050
training video 08 00-18.mkv,8983.3,0:08:983,8933.3,0:08:933,9416.7,0:09:417,536,565,566,9433.3,0:09:433
training video 08 00-18.mkv,11833.3,0:11:833,11783.3,0:11:783,12266.7,0:12:267,707,736,737,12283.3,0:12:283
training video 08 00-18.mkv,13700.0,0:13:700,13650.0,0:13:650,14133.3,0:14:133,819,848,849,14150.0,0:14:150
training video 09 00-19.mkv,0.0,0:00:000,0.0,0:00:000,433.3,0:00:433,0,26,27,450.0,0:00:450
training video 09 00-19.mkv,9666.7,0:09:667,9616.7,0:09:617,10100.0,0:10:100,577,606,607,10116.7,0:10:117
training video 09 00-19.mkv,10016.7,0:10:017,9966.7,0:09:967,10450.0,0:10:450,598,627,628,10466.7,0:10:467
training video 09 00-19.mkv,10483.3,0:10:483,10433.3,0:10:433,10916.7,0:10:917,626,655,656,10933.3,0:10:933
training video 09 00-19.mkv,11883.3,0:11:883,11833.3,0:11:833,12316.7,0:12:317,710,739,740,12333.3,0:12:333
training video 09 00-19.mkv,12250.0,0:12:250,12200.0,0:12:200,12683.3,0:12:683,732,761,762,12700.0,0:12:700
training video 10 00-19.mkv,5466.7,0:05:467,5416.7,0:05:417,5900.0,0:05:900,325,354,355,5916.7,0:05:917
training video 10 00-19.mkv,10083.3,0:10:083,10033.3,0:10:033,10516.7,0:10:517,602,631,632,10533.3,0:10:533
training video 10 00-19.mkv,11583.3,0:11:583,11533.3,0:11:533,12016.7,0:12:017,692,721,722,12033.3,0:12:033
training video 10 00-19.mkv,13650.0,0:13:650,13600.0,0:13:600,14083.3,0:14:083,816,845,846,14100.0,0:14:100
training video 10 00-19.mkv,14050.0,0:14:050,14000.0,0:14:000,14483.3,0:14:483,840,869,870,14500.0,0:14:500
training video 11 00-18.mkv,7550.0,0:07:550,7500.0,0:07:500,7983.3,0:07:983,450,479,480,8000.0,0:08:000
training video 11 00-18.mkv,8600.0,0:08:600,8550.0,0:08:550,9033.3,0:09:033,513,542,543,9050.0,0:09:050
training video 11 00-18.mkv,9016.7,0:09:017,8966.7,0:08:967,9450.0,0:09:450,538,567,568,9466.7,0:09:467
training video 11 00-18.mkv,10800.0,0:10:800,10750.0,0:10:750,11233.3,0:11:233,645,674,675,11250.0,0:11:250
training video 12 00-19.mkv,2350.0,0:02:350,2300.0,0:02:300,2783.3,0:02:783,138,167,168,2800.0,0:02:800
training video 12 00-19.mkv,14616.7,0:14:617,14566.7,0:14:567,15050.0,0:15:050,874,903,904,15066.7,0:15:067
training video 12 00-19.mkv,15566.7,0:15:567,15516.7,0:15:517,16000.0,0:16:000,931,960,961,16016.7,0:16:017
training video 12 00-19.mkv,15966.7,0:15:967,15916.7,0:15:917,16400.0,0:16:400,955,984,985,16416.7,0:16:417
training video 13 00-20.mp4,8600.0,0:08:600,8550.0,0:08:550,9033.3,0:09:033,513,542,543,9050.0,0:09:050
training video 13 00-20.mp4,9416.7,0:09:417,9366.7,0:09:367,9850.0,0:09:850,562,591,592,9866.7,0:09:867
training video 13 00-20.mp4,9750.0,0:09:750,9700.0,0:09:700,10183.3,0:10:183,582,611,612,10200.0,0:10:200
training video 13 00-20.mp4,11433.3,0:11:433,11383.3,0:11:383,11866.7,0:11:867,683,712,713,11883.3,0:11:883
training video 13 00-20.mp4,11766.7,0:11:767,11716.7,0:11:717,12200.0,0:12:200,703,732,733,12216.7,0:12:217
training video 13 00-20.mp4,13666.7,0:13:667,13616.7,0:13:617,14100.0,0:14:100,817,846,847,14116.7,0:14:117
training video 13 00-20.mp4,14116.7,0:14:117,14066.7,0:14:067,14550.0,0:14:550,844,873,874,14566.7,0:14:567
training video 13 00-20.mp4,14833.3,0:14:833,14783.3,0:14:783,15266.7,0:15:267,887,916,917,15283.3,0:15:283
training video 14 00-20.mp4,13000.0,0:13:000,12950.0,0:12:950,13433.3,0:13:433,777,806,807,13450.0,0:13:450
training video 14 00-20.mp4,13866.7,0:13:867,13816.7,0:13:817,14300.0,0:14:300,829,858,859,14316.7,0:14:317
training video 14 00-20.mp4,14216.7,0:14:217,14166.7,0:14:167,14650.0,0:14:650,850,879,880,14666.7,0:14:667
training video 14 00-20.mp4,14566.7,0:14:567,14516.7,0:14:517,15000.0,0:15:000,871,900,901,15016.7,0:15:017
training video 14 00-20.mp4,16183.3,0:16:183,16133.3,0:16:133,16616.7,0:16:617,968,997,998,16633.3,0:16:633
